2018-05-16 11:22:31,954 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:31,970 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-05-16 11:22:32,001 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:32,068 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-16 11:22:32,588 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:32,603 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-05-16 11:22:32,643 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:32,650 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-16 11:22:35,898 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.bizleap:super-pom:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-superpom\pom.xml.
2018-05-16 11:22:36,038 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.bizleap.commons:bizleap-commons:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-commons\pom.xml.
2018-05-16 11:22:36,054 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.bizleap.ds:bizleap-ds:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-ds\pom.xml.
2018-05-16 11:22:36,353 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.bizleap.commons:bizleap-commons-domain:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-commons\bizleap-commons-domain\pom.xml.
2018-05-16 11:22:36,510 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bizleap.ds:bizleap-ds-application:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-ds\bizleap-ds-application\pom.xml.
2018-05-16 11:22:36,619 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.bizleap.ds:bizleap-ds-loader:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-ds\bizleap-ds-loader\pom.xml.
